#options: 640x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=90 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:86 out:86 type:P dur:2 cpbdur:2 q:27.16 aq:21.74 tex:35982 mv:3231 misc:1187 imb:12 pmb:609 smb:579 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:27.05 aq:21.35 tex:22360 mv:2809 misc:1143 imb:7 pmb:509 smb:684 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:27.02 aq:21.42 tex:42049 mv:3074 misc:1173 imb:16 pmb:594 smb:590 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:26.94 aq:21.98 tex:16033 mv:2035 misc:1028 imb:8 pmb:385 smb:807 d:- ref:0 ;
in:90 out:90 type:I dur:2 cpbdur:2 q:24.88 aq:19.01 tex:336283 mv:43126 misc:71 imb:1200 pmb:0 smb:0 d:- ref:;
in:91 out:91 type:P dur:2 cpbdur:2 q:26.93 aq:21.49 tex:8501 mv:1605 misc:966 imb:4 pmb:287 smb:909 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:26.93 aq:21.21 tex:31475 mv:3594 misc:1219 imb:23 pmb:636 smb:541 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:26.86 aq:22.76 tex:14383 mv:2103 misc:962 imb:1 pmb:373 smb:826 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:26.89 aq:21.98 tex:21886 mv:2521 misc:1017 imb:6 pmb:451 smb:743 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:26.79 aq:21.26 tex:36144 mv:2946 misc:1166 imb:16 pmb:568 smb:616 d:- ref:0 ;
