#options: 960x540 fps=2997/100 cabac=0 ref=5 deblock=1:0:0 analyse=0x1:0x131 me=hex subme=7 psy_rd=1.0:0.0 mixed_ref=1 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 chroma_qp_offset=-2 threads=12 nr=0 decimate=1 mbaff=0 bframes=0 keyint=90 keyint_min=25 scenecut=40(pre) rc=abr bitrate=1200 ratetol=3.3 qcomp=0.50 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:72 out:72 type:P q:14.09 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:73 out:73 type:P q:10.69 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:74 out:74 type:P q:12.84 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:75 out:75 type:P q:16.57 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:76 out:76 type:P q:17.71 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:77 out:77 type:P q:17.44 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:78 out:78 type:P q:17.16 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:79 out:79 type:P q:16.89 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:80 out:80 type:P q:16.61 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:81 out:81 type:P q:16.33 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:82 out:82 type:P q:16.05 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:83 out:83 type:P q:15.76 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:84 out:84 type:P q:11.53 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:85 out:85 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:86 out:86 type:P q:10.74 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:87 out:87 type:P q:14.44 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:88 out:88 type:P q:15.55 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:89 out:89 type:P q:15.25 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:90 out:90 type:I q:13.83 tex:4120 mv:8280 misc:88 imb:2040 pmb:0 smb:0 d:-;
in:91 out:91 type:P q:14.63 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:92 out:92 type:P q:14.32 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:93 out:93 type:P q:14.01 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:94 out:94 type:P q:13.69 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:95 out:95 type:P q:13.38 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:96 out:96 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:97 out:97 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:98 out:98 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:99 out:99 type:P q:11.92 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:100 out:100 type:P q:13.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:101 out:101 type:P q:12.66 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:102 out:102 type:P q:11.22 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:103 out:103 type:P q:11.98 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:104 out:104 type:P q:11.64 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:105 out:105 type:P q:11.29 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:106 out:106 type:P q:10.94 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:107 out:107 type:P q:10.59 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:108 out:108 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:109 out:109 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:110 out:110 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:111 out:111 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:112 out:112 type:P q:10.50 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:113 out:113 type:P q:10.13 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:114 out:114 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:115 out:115 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:116 out:116 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:117 out:117 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:118 out:118 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:119 out:119 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:120 out:120 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:121 out:121 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:122 out:122 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:123 out:123 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:124 out:124 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:125 out:125 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:126 out:126 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:127 out:127 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:128 out:128 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:129 out:129 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:130 out:130 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:131 out:131 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:132 out:132 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:133 out:133 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:134 out:134 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:135 out:135 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:136 out:136 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:137 out:137 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:138 out:138 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:139 out:139 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:140 out:140 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:141 out:141 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:142 out:142 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:143 out:143 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:144 out:144 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:145 out:145 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:146 out:146 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:147 out:147 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:148 out:148 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:149 out:149 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:150 out:150 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:151 out:151 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:152 out:152 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:153 out:153 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:154 out:154 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:155 out:155 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:156 out:156 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:157 out:157 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:158 out:158 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:159 out:159 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:160 out:160 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:161 out:161 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:162 out:162 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:163 out:163 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:164 out:164 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:165 out:165 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:166 out:166 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:167 out:167 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:168 out:168 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:169 out:169 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:170 out:170 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:171 out:171 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:172 out:172 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:173 out:173 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:174 out:174 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:175 out:175 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:176 out:176 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:177 out:177 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:178 out:178 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:179 out:179 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:180 out:180 type:I q:10.00 tex:4114 mv:8280 misc:86 imb:2040 pmb:0 smb:0 d:-;
in:181 out:181 type:P q:10.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:182 out:182 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:183 out:183 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:184 out:184 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:185 out:185 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:186 out:186 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:187 out:187 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:188 out:188 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:189 out:189 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:190 out:190 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:191 out:191 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:192 out:192 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:193 out:193 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:194 out:194 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:195 out:195 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:196 out:196 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:197 out:197 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:198 out:198 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:199 out:199 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:200 out:200 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:201 out:201 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:202 out:202 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:203 out:203 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:204 out:204 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:205 out:205 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:206 out:206 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:207 out:207 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:208 out:208 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:209 out:209 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:210 out:210 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:211 out:211 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:212 out:212 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:213 out:213 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:214 out:214 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:215 out:215 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:216 out:216 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:217 out:217 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:218 out:218 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:219 out:219 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:220 out:220 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:221 out:221 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:222 out:222 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:223 out:223 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:224 out:224 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:225 out:225 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:226 out:226 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:227 out:227 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:228 out:228 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:229 out:229 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:230 out:230 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:231 out:231 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:232 out:232 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:233 out:233 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:234 out:234 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:235 out:235 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:236 out:236 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:237 out:237 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:238 out:238 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:239 out:239 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:240 out:240 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:241 out:241 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:242 out:242 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:243 out:243 type:P q:10.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
